solver,quantity,max_abs,max_rel_pct,rmse,sum_abs_diff
pydisort_disort_8stream_cpu,flux_up,0.0,0.0,0.0,0.0
pydisort_disort_8stream_cpu,flux_down,0.0,0.0,0.0,0.0
pydisort_disort_8stream_cpu,flux_net,0.0,0.0,0.0,0.0
rte_rrtmgp_sw_gpu,flux_up,0.0007117887480296813,5844.312916627461,0.00021312560892760356,16.114732861207813
rte_rrtmgp_sw_gpu,flux_down,0.001246788775583152,5010901.651836908,0.00015860892017968632,1.9304429440526292
rte_rrtmgp_sw_gpu,flux_net,0.0014811293787715951,5009468.707558322,0.0002769589463672211,18.045175805236795
py2sess_native_cpu,flux_up,0.005528324895174096,6190.1792636429045,0.004649608838327298,512.996731633124
py2sess_native_cpu,flux_down,0.0018465720628110804,5026533.288971155,0.00022064221989102242,5.101869679710944
py2sess_native_cpu,flux_net,0.0055283248950528385,5024969.745427424,0.004624255398012128,507.8948619534058
py2sess_native_cuda,flux_up,0.0053853165756465315,6190.179263642218,0.004650829782009232,513.1291836907649
py2sess_native_cuda,flux_down,0.0018465720628117466,5026533.288971155,0.0002206422198886746,5.101869702513795
py2sess_native_cuda,flux_net,0.00538531657429997,5024969.745427425,0.004625483033780208,508.0273139882338
py2sess_numpy,flux_up,0.005528324895174096,6190.179263642928,0.004649723301853109,513.0090182284475
py2sess_numpy,flux_down,0.0018465720627490745,5026533.288971155,0.00022064221985169998,5.101869403573801
py2sess_numpy,flux_net,0.0055283248950528385,5024969.745427424,0.0046243704916769796,507.90714882487373
py2sess_torch_cpu,flux_up,0.005528324895174096,6190.179263642926,0.00464960849355806,512.9966954250576
py2sess_torch_cpu,flux_down,0.001846572062811247,5026533.288971155,0.000220642219891013,5.101869679696392
py2sess_torch_cpu,flux_net,0.0055283248950528385,5024969.745427424,0.004624255051352551,507.89482574534486
py2sess_torch_cuda,flux_up,0.005528324895174096,6190.179263641396,0.004649608492694013,512.9966948195379
py2sess_torch_cuda,flux_down,0.001846572062811358,5026533.288971155,0.0002206422198910217,5.101869679696392
py2sess_torch_cuda,flux_net,0.0055283248950528385,5024969.745427424,0.004624255050483777,507.8948251398251
pyharp_toon_cpu,flux_up,0.0012527806950052359,6212.4684046252,0.0003409520740851898,22.586437557713907
pyharp_toon_cpu,flux_down,0.0017900293052522387,5027320.53658568,0.00020912626025612293,2.442204950013547
pyharp_toon_cpu,flux_net,0.0017005278399895851,5025757.163140605,0.0003784546384462664,20.144232607693993
pyharp_toon_cuda,flux_up,0.0012527806950054059,6212.468404625193,0.00034095207407269616,22.58643755801586
pyharp_toon_cuda,flux_down,0.001790029305238472,5027320.536585682,0.00020912626019259118,2.4422050144639798
pyharp_toon_cuda,flux_net,0.00170052783997654,5025757.163140607,0.0003784546382929877,20.14423254354915
