engine,backend,device,dtype,repeats,best_s,mean_s,std_s,rows_per_second_best,status,skip_reason,speedup_vs_fastest
rte-rrtmgp,rte-sw,gpu,float64,5,0.27144,0.27229159999999997,0.0008595316399138776,1031535.51,ok,,0.3650906056524857
py2sess,numpy,cpu,float64,5,8.248388106992934,8.417679058393697,0.1716414882610702,33946.02634696804,ok,,0.01201449213020107
py2sess,torch_cuda,cuda,float64,5,0.3590649990073871,0.3593251871992834,0.00017362810396692158,779803.1018730387,ok,,0.2759951381289378
py2sess,native_cuda,cuda,float64,5,0.32326619600644335,0.3239483854034916,0.0005739573605294643,866159.2318004665,ok,,0.3065590996601929
pyharp,toon_cpu,cpu,float64,5,0.2417731439927593,0.2584031595964916,0.014009298654996742,1158110.431026142,ok,,0.4098891728077069
pydisort,disort_8stream_cpu,cpu,float64,5,8.335687423998024,8.416888012597337,0.06692576132068398,33590.510986999594,ok,,0.011888664840407313
pyharp,toon_cuda,cuda,float64,5,0.09910019399831071,0.0992325353960041,0.0001397872933759472,2825423.3286846336,ok,,1.0
