backend,quantity,max_abs,max_rel_pct,rmse,ref_sum,value_sum,sum_abs_diff
native_cuda,flux_up,0.0039069669285900915,70.81494471784087,0.0032651081857315517,647837.6223933834,748203.9600232635,100366.33762988006
native_cuda,flux_down,0.00018200744671572483,0.6092158654733812,5.9906463001463346e-05,1525228.063427052,1526190.1092445669,962.0458175148815
native_cuda,flux_net_up_minus_down,0.003906966928589689,15.394525479909685,0.0032336060473170856,-877390.4410336685,-777986.1492213034,99404.29181236506
numpy,flux_up,0.003924980434367148,70.81494471787505,0.003264473123274088,647837.6223933834,748184.6460161814,100347.02362279803
numpy,flux_down,0.00018200744587429374,0.609215865471963,5.990646291904262e-05,1525228.063427052,1526190.109240619,962.0458135670051
numpy,flux_net_up_minus_down,0.003924980434315599,15.579042093571715,0.0032329647969235424,-877390.4410336685,-778005.4632244377,99384.9778092308
torch_cuda,flux_up,0.0039038242680310836,70.81494471784087,0.003265108519096727,647837.6223933834,748203.9695335042,100366.34714012081
torch_cuda,flux_down,0.0001820074466492988,0.609215865473232,5.9906462991344955e-05,1525228.063427052,1526190.1092441739,962.0458171218634
torch_cuda,flux_net_up_minus_down,0.0039038242680310836,15.517617557108998,0.0032336063839431797,-877390.4410336685,-777986.1397106699,99404.3013229986
pyharp_disort_cpu,flux_up,0.0008027594441605756,156.89920297995653,0.0001765727758772266,647837.6223933834,648265.7109844078,428.088591024396
pyharp_disort_cpu,flux_down,0.0001484447013161902,100.0,4.763477978209685e-05,1525228.063427052,1525910.6982431991,682.6348161471542
pyharp_disort_cpu,flux_net_up_minus_down,0.0007964224218668589,115.34711477169175,0.00018072824648584246,-877390.4410336685,-877644.9872587915,254.54622512299102
pyharp_toon_cpu,flux_up,0.0007044478323967578,50.41002199158592,0.0001809270965036136,647837.6223933834,650120.3522982688,2282.729904885404
pyharp_toon_cpu,flux_down,8.975138381384778e-05,0.6120123745522714,2.9266673928952524e-05,1525228.063427052,1525698.6586247846,470.59519773256034
pyharp_toon_cpu,flux_net_up_minus_down,0.0006937260350882088,1.7527064512525934,0.0001784419774572364,-877390.4410336685,-875578.3063265157,1812.134707152727
pyharp_toon_cuda,flux_up,0.0007044478324036586,50.41002199158604,0.00018092709650401718,647837.6223933834,650120.352298582,2282.729905198561
pyharp_toon_cuda,flux_down,8.975138381134284e-05,0.6120123745517115,2.9266673943669024e-05,1525228.063427052,1525698.6586255718,470.59519851976074
pyharp_toon_cuda,flux_net_up_minus_down,0.0006937260350855373,1.752706451252092,0.0001784419774579564,-877390.4410336685,-875578.3063269898,1812.1347066786839
